AGE,SEX
9.281314168,1
9.281314168,1
9.281314168,1
9.281314168,1
9.281314168,1
14.15468857,1
14.15468857,1
14.15468857,1
14.15468857,1
14.15468857,1
10.08898015,1
10.08898015,1
10.08898015,1
10.08898015,1
10.08898015,1
15.22518823,1
15.22518823,1
15.22518823,1
15.22518823,1
15.22518823,1
11.22245038,0
11.22245038,0
11.22245038,0
11.22245038,0
11.22245038,0
13.46201232,0
13.46201232,0
13.46201232,0
13.46201232,0
13.46201232,0
9.691991786,1
9.691991786,1
9.691991786,1
9.691991786,1
9.691991786,1
11.66324435,0
11.66324435,0
11.66324435,0
11.66324435,0
11.66324435,0
12.09034908,0
12.09034908,0
12.09034908,0
12.09034908,0
12.09034908,0
12.22724162,1
12.22724162,1
12.22724162,1
12.22724162,1
12.22724162,1
9.689253936,1
9.689253936,1
9.689253936,1
9.689253936,1
9.689253936,1
